"Pais","Regiao","Ano","Populacao","ExpectativaVida","PIB","PIB_Capita","Fertilidade","Pobreza"
"Andorra","Europe & Central Asia",2011,82326,NA,3427235708.64326,NA,NA,NA
"Andorra","Europe & Central Asia",2009,85474,NA,3649863492.52426,NA,1.19,NA
"Andorra","Europe & Central Asia",2012,79316,NA,3146177740.6367,NA,NA,NA
"Andorra","Europe & Central Asia",2010,84419,NA,3346317328.52461,NA,1.27,NA
"United Arab Emirates","Middle East & North Africa",2012,8952542,77.0241463414634,373429543907.42,61172.9947875255,1.82,NA
"United Arab Emirates","Middle East & North Africa",2011,8734722,76.8511951219512,348526072157.931,57594.1266833257,1.841,NA
"United Arab Emirates","Middle East & North Africa",2010,8329453,76.675243902439,286049336038.121,56245.4781588414,1.868,NA
"United Arab Emirates","Middle East & North Africa",2009,7705423,76.4947804878049,253547358747.447,59100.3805379711,1.903,NA
"Afghanistan","South Asia",2011,28809167,59.3279512195122,17930239399.8149,1712.58871978343,5.506,NA
"Afghanistan","South Asia",2010,27962207,58.9708292682927,15936800636.2487,1629.16729020532,5.746,NA
"Afghanistan","South Asia",2012,29726803,59.6796097560976,20536542736.7297,1934.28563418865,5.272,NA
"Afghanistan","South Asia",2009,27207291,58.6036829268293,12486943505.7381,1525.51705383899,5.985,NA
"Antigua and Barbuda","Latin America & Caribbean",2011,88152,75.4660243902439,1129918370.37037,19987.9241389288,2.115,NA
"Antigua and Barbuda","Latin America & Caribbean",2009,86300,75.1470243902439,1206410370.37037,21671.3757490895,2.146,NA
"Antigua and Barbuda","Latin America & Caribbean",2012,89069,75.6218048780488,1204713111.11111,20956.336421157,2.102,NA
"Antigua and Barbuda","Latin America & Caribbean",2010,87233,75.3087804878049,1135539037.03704,20151.3098656076,2.13,NA
"Albania","Europe & Central Asia",2011,2904780,77.2405853658537,12890867538.5302,9640.14459267576,1.699,NA
"Albania","Europe & Central Asia",2010,2913021,77.0369512195122,11926953258.916,9303.93247566951,1.663,NA
"Albania","Europe & Central Asia",2009,2927519,76.8403658536586,12044212903.8168,9342.0812456971,1.636,NA
"Albania","Europe & Central Asia",2012,2900247,77.4439756097561,12319784787.2987,10361.433216136,1.735,6.79
